** pyhop, verbose=1: **
   state = hanoi-state
   tasks = [('hanoi_sub', 10, 'p3', 'p1', 'p2')]
d1 d2 p2 p3 p2 d2 d1 p2
d2 d3 p1 p3 p1 d3 d2 p1
d1 p2 d2 p2 p1 p2 d1 d2
d3 d4 p2 p3 p2 d4 d3 p2
d1 d2 d4 p1 p3 d2 d1 d4
d2 p1 d3 p1 p2 p1 d2 d3
d1 d4 d2 p3 p2 d4 d1 d2
d4 d5 p1 p3 p1 d5 d4 p1
d1 d2 d4 p2 p1 d2 d1 d4
d2 d3 d5 p2 p3 d3 d2 d5
d1 d4 d2 p1 p3 d4 d1 d2
d3 p2 d4 p2 p1 p2 d3 d4
d1 d2 p2 p3 p2 d2 d1 p2
d2 d5 d3 p3 p1 d5 d2 d3
d1 p2 d2 p2 p1 p2 d1 d2
d5 d6 p2 p3 p2 d6 d5 p2
d1 d2 d6 p1 p3 d2 d1 d6
d2 d3 d5 p1 p2 d3 d2 d5
d1 d6 d2 p3 p2 d6 d1 d2
d3 d4 d6 p1 p3 d4 d3 d6
d1 d2 d4 p2 p1 d2 d1 d4
d2 d5 d3 p2 p3 d5 d2 d3
d1 d4 d2 p1 p3 d4 d1 d2
d4 p1 d5 p1 p2 p1 d4 d5
d1 d2 d4 p3 p2 d2 d1 d4
d2 d3 p1 p3 p1 d3 d2 p1
d1 d4 d2 p2 p1 d4 d1 d2
d3 d6 d4 p3 p2 d6 d3 d4
d1 d2 d6 p1 p3 d2 d1 d6
d2 p1 d3 p1 p2 p1 d2 d3
d1 d6 d2 p3 p2 d6 d1 d2
d6 d7 p1 p3 p1 d7 d6 p1
d1 d2 d6 p2 p1 d2 d1 d6
d2 d3 d7 p2 p3 d3 d2 d7
d1 d6 d2 p1 p3 d6 d1 d2
d3 d4 d6 p2 p1 d4 d3 d6
d1 d2 d4 p3 p2 d2 d1 d4
d2 d7 d3 p3 p1 d7 d2 d3
d1 d4 d2 p2 p1 d4 d1 d2
d4 d5 d7 p2 p3 d5 d4 d7
d1 d2 d4 p1 p3 d2 d1 d4
d2 d3 d5 p1 p2 d3 d2 d5
d1 d4 d2 p3 p2 d4 d1 d2
d3 d6 d4 p1 p3 d6 d3 d4
d1 d2 d6 p2 p1 d2 d1 d6
d2 d5 d3 p2 p3 d5 d2 d3
d1 d6 d2 p1 p3 d6 d1 d2
d5 p2 d6 p2 p1 p2 d5 d6
d1 d2 p2 p3 p2 d2 d1 p2
d2 d3 d5 p3 p1 d3 d2 d5
d1 p2 d2 p2 p1 p2 d1 d2
d3 d4 p2 p3 p2 d4 d3 p2
d1 d2 d4 p1 p3 d2 d1 d4
d2 d5 d3 p1 p2 d5 d2 d3
d1 d4 d2 p3 p2 d4 d1 d2
d4 d7 d5 p3 p1 d7 d4 d5
d1 d2 d4 p2 p1 d2 d1 d4
d2 d3 d7 p2 p3 d3 d2 d7
d1 d4 d2 p1 p3 d4 d1 d2
d3 p2 d4 p2 p1 p2 d3 d4
d1 d2 p2 p3 p2 d2 d1 p2
d2 d7 d3 p3 p1 d7 d2 d3
d1 p2 d2 p2 p1 p2 d1 d2
d7 d8 p2 p3 p2 d8 d7 p2
d1 d2 d8 p1 p3 d2 d1 d8
d2 d3 d7 p1 p2 d3 d2 d7
d1 d8 d2 p3 p2 d8 d1 d2
d3 d4 d8 p1 p3 d4 d3 d8
d1 d2 d4 p2 p1 d2 d1 d4
d2 d7 d3 p2 p3 d7 d2 d3
d1 d4 d2 p1 p3 d4 d1 d2
d4 d5 d7 p1 p2 d5 d4 d7
d1 d2 d4 p3 p2 d2 d1 d4
d2 d3 d5 p3 p1 d3 d2 d5
d1 d4 d2 p2 p1 d4 d1 d2
d3 d8 d4 p3 p2 d8 d3 d4
d1 d2 d8 p1 p3 d2 d1 d8
d2 d5 d3 p1 p2 d5 d2 d3
d1 d8 d2 p3 p2 d8 d1 d2
d5 d6 d8 p1 p3 d6 d5 d8
d1 d2 d6 p2 p1 d2 d1 d6
d2 d3 d5 p2 p3 d3 d2 d5
d1 d6 d2 p1 p3 d6 d1 d2
d3 d4 d6 p2 p1 d4 d3 d6
d1 d2 d4 p3 p2 d2 d1 d4
d2 d5 d3 p3 p1 d5 d2 d3
d1 d4 d2 p2 p1 d4 d1 d2
d4 d7 d5 p2 p3 d7 d4 d5
d1 d2 d4 p1 p3 d2 d1 d4
d2 d3 d7 p1 p2 d3 d2 d7
d1 d4 d2 p3 p2 d4 d1 d2
d3 d6 d4 p1 p3 d6 d3 d4
d1 d2 d6 p2 p1 d2 d1 d6
d2 d7 d3 p2 p3 d7 d2 d3
d1 d6 d2 p1 p3 d6 d1 d2
d6 p1 d7 p1 p2 p1 d6 d7
d1 d2 d6 p3 p2 d2 d1 d6
d2 d3 p1 p3 p1 d3 d2 p1
